Feature	r2_score	cell_count_coef	dose_coef	intercept
Cytoplasm_Intensity_MeanIntensityEdge_Hoechst	0.017513437447155833	-0.0006701227575340389	-0.027686514994341552	0.2754398468626671
Cytoplasm_Intensity_MinIntensityEdge_Hoechst	0.02293544215396659	-0.00044703416333110755	-0.04376238842992065	0.29226821617781984
Cytoplasm_Intensity_StdIntensityEdge_Hoechst	0.04346400361177505	-0.00013225732715516067	0.0626428006325809	-0.3494022029688917
Cytoplasm_Intensity_StdIntensity_Hoechst	0.002230710114791812	-0.00013100451871340228	-0.011558372184969799	-0.072338053976123
Cytoplasm_Intensity_StdIntensity_PM	0.010477502441789799	-0.000750740201357856	-0.01624685621364623	0.3491114586000511
Cytoplasm_Location_MaxIntensity_Y_Actin	0.0003498816396515503	-1.8659311757981903e-05	-0.006537747909643283	0.015401319531458037
Cytoplasm_RadialDistribution_FracAtD_Actin_1of4	0.004978078548084852	1.4916817480579902e-05	0.024821357353176615	-0.0315794399972847
Cytoplasm_RadialDistribution_FracAtD_Actin_2of4	0.006199135480917328	-6.845998478893356e-05	0.028396969891502668	0.013723520029889094
Cytoplasm_RadialDistribution_FracAtD_Actin_3of4	0.0068905620078750784	-0.00011705391475948267	0.03014818283885169	0.04115658926489343
Cytoplasm_RadialDistribution_FracAtD_Actin_4of4	0.0073040178884988816	9.598143120383436e-05	-0.03090693892373944	-0.027921073144513663
Cytoplasm_RadialDistribution_FracAtD_ER_2of4	0.01490073758801247	-9.860566087028797e-06	0.044161564128615986	-0.08827809070732888
Cytoplasm_RadialDistribution_FracAtD_ER_3of4	0.018940285050663475	1.0200995610387269e-05	0.04992131297205883	-0.1003984291726118
Cytoplasm_RadialDistribution_FracAtD_ER_4of4	0.019068114056542407	-3.099759561685929e-06	-0.05003942141955803	0.10081866145098134
Cytoplasm_RadialDistribution_FracAtD_Hoechst_1of4	0.009841360928870002	-0.00012504533978781928	0.03652836780537702	0.021581368725886257
Cytoplasm_RadialDistribution_FracAtD_Hoechst_2of4	0.01661745826231087	-0.0002176039693311382	0.04516998521195604	0.05455110860462204
Cytoplasm_RadialDistribution_FracAtD_Hoechst_3of4	0.01935541177364719	-0.00024603125279737593	0.050207859349775064	0.06996302154722714
Cytoplasm_RadialDistribution_FracAtD_Hoechst_4of4	0.020008295344804528	0.0002430906787801058	-0.051042827921744416	-0.06531045659960905
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_1of4	0.015720169452817845	7.54516948187406e-05	0.043163569269014164	-0.13714273522942838
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_3of4	0.023167498087823257	8.755123109141383e-05	0.053707442140892785	-0.1476083273410504
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_4of4	0.02440699903517274	-9.428427934338206e-05	-0.05482258778018615	0.15918032304756727
Cytoplasm_RadialDistribution_FracAtD_PM_1of4	0.011036942938700167	9.247407924600922e-05	0.037212988789618914	-0.12780456826951261
Cytoplasm_RadialDistribution_MeanFrac_Actin_1of4	0.002712548996858466	0.0001284297605122193	-0.017962150957435134	-0.015569879219537395
Cytoplasm_RadialDistribution_MeanFrac_Actin_2of4	0.005324708298204417	5.551942418702798e-05	-0.025438195125964604	0.05147921572710536
Cytoplasm_RadialDistribution_MeanFrac_Actin_3of4	0.01484987827250317	-4.808189673584858e-05	-0.042143144932138665	0.14995709347105868
Cytoplasm_RadialDistribution_MeanFrac_Actin_4of4	0.01091089323846417	-5.285161034396577e-05	0.03759365094356757	-0.08570641659216126
Cytoplasm_RadialDistribution_MeanFrac_ER_3of4	0.0001569045953739856	9.498183193010992e-05	0.002203231941532912	-0.08096991089307093
Cytoplasm_RadialDistribution_MeanFrac_ER_4of4	0.0009668093046677484	-0.00015211487987861055	-0.008660578427589372	0.11475108811364704
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_1of4	0.00017805410322069282	-8.408846288047554e-05	0.004549453248252992	0.04737288540196821
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_2of4	0.0006053378099987183	-0.00021055468745998017	0.0043930916447254935	0.11268878325021178
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_3of4	0.0007498835992161279	-0.0002579542818331071	0.002039488158127074	0.15633099044396462
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_4of4	0.0034976487297893044	8.622569447539018e-05	0.018570651684902763	-0.105393584147321
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_1of4	0.0010625710865704852	0.00017177409372058332	0.007736869787055923	-0.14449572264828583
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_4of4	0.00276990414607281	-0.00028016266437850515	-0.01320326352643923	0.1941009685423056
Cytoplasm_RadialDistribution_MeanFrac_PM_1of4	0.00030412338402086014	0.0001527473596813031	0.001853673672052744	-0.11671228027494798
Cytoplasm_RadialDistribution_MeanFrac_PM_3of4	0.00032598538184747117	0.0001685046213620855	0.00105648347119761	-0.11990191635503479
Cytoplasm_RadialDistribution_RadialCV_Actin_1of4	0.0027543394646695196	0.00011072733588799958	0.01707395271832195	-0.08988651674918052
Cytoplasm_RadialDistribution_RadialCV_Actin_2of4	0.0005342117029034643	-4.284541723666162e-05	0.008189145776003088	0.011631758057653593
Cytoplasm_RadialDistribution_RadialCV_Actin_3of4	6.61356690256909e-06	-1.9638549218731594e-05	0.0007136903400127454	-0.009549120495933469
Cytoplasm_RadialDistribution_RadialCV_Actin_4of4	0.0011260142130954387	-0.000291259301379955	-0.0034044403834716354	0.12878192185511142
Cytoplasm_RadialDistribution_RadialCV_ER_1of4	0.0026633727385616535	-0.0003760684434075648	-0.011427809752769823	0.23980425348100215
Cytoplasm_RadialDistribution_RadialCV_ER_2of4	0.001146626356823166	-0.00030063745156434123	0.00946408051020806	0.15299002387769506
