Metadata_WellRow	Metadata_WellCol	Metadata_heart_number	Metadata_cell_type	Metadata_heart_failure_type	Metadata_treatment	Metadata_Cells_Location_Center_X	Metadata_Cells_Location_Center_Y	Metadata_Image_Count_Cells	Metadata_ImageNumber	Metadata_Plate	Metadata_Well	Metadata_Cells_Number_Object_Number	Metadata_Cytoplasm_Parent_Cells	Metadata_Cytoplasm_Parent_Nuclei	Metadata_Nuclei_Number_Object_Number	Metadata_Site	UMAP0	UMAP1
B	2	9	failing	rejected	DMSO	359.9803472809593	662.5454500223892	33	2.0	localhost230405150001	B02	15.0	15.0	22.0	22.0	f01	-1.7531923	2.1833546
B	2	9	failing	rejected	DMSO	575.0893079154579	694.0216535433071	33	2.0	localhost230405150001	B02	17.0	17.0	24.0	24.0	f01	-1.3256508	3.0732656
B	2	9	failing	rejected	DMSO	699.2643944407677	654.5538826384293	33	2.0	localhost230405150001	B02	18.0	18.0	25.0	25.0	f01	-2.2702184	1.6241455
B	2	9	failing	rejected	DMSO	426.1626624655376	686.9330445057109	33	2.0	localhost230405150001	B02	19.0	19.0	26.0	26.0	f01	0.8478901	3.599272
B	2	9	failing	rejected	DMSO	733.8860850111856	734.9997315436242	33	2.0	localhost230405150001	B02	21.0	21.0	28.0	28.0	f01	-1.3203897	2.245084
B	2	9	failing	rejected	DMSO	939.8840997549373	760.9269857287012	33	2.0	localhost230405150001	B02	22.0	22.0	30.0	30.0	f01	-1.1677623	4.3301835
B	2	9	failing	rejected	DMSO	772.8099875673436	813.9705760464152	33	2.0	localhost230405150001	B02	24.0	24.0	32.0	32.0	f01	-1.6857489	5.073159
B	2	9	failing	rejected	DMSO	179.84271457085828	837.5948103792415	33	2.0	localhost230405150001	B02	25.0	25.0	34.0	34.0	f01	2.2077925	4.9157047
B	2	9	failing	rejected	DMSO	627.2599977469866	834.4564605159401	33	2.0	localhost230405150001	B02	26.0	26.0	35.0	35.0	f01	-1.8223032	4.1514125
B	2	9	failing	rejected	DMSO	868.9132468189096	916.1871576641106	33	2.0	localhost230405150001	B02	29.0	29.0	39.0	39.0	f01	-2.4042969	3.6828337
B	2	9	failing	rejected	DMSO	277.66884725939144	969.3400733472098	33	2.0	localhost230405150001	B02	31.0	31.0	41.0	41.0	f01	-2.1450634	3.2078433
B	2	9	failing	rejected	DMSO	537.6772295156179	1001.1136260751472	33	2.0	localhost230405150001	B02	32.0	32.0	43.0	43.0	f01	6.8845716	4.0628924
B	2	9	failing	rejected	DMSO	771.9094696969697	1028.8590909090908	33	2.0	localhost230405150001	B02	33.0	33.0	44.0	44.0	f01	1.2993199	5.6364346
B	2	9	failing	rejected	DMSO	146.83343691733995	259.50901180857676	27	3.0	localhost230405150001	B02	2.0	2.0	6.0	6.0	f02	2.988428	4.4611816
B	2	9	failing	rejected	DMSO	546.4156351791531	336.2690553745928	27	3.0	localhost230405150001	B02	4.0	4.0	8.0	8.0	f02	4.305543	4.1954427
B	2	9	failing	rejected	DMSO	184.70490286771508	385.468085106383	27	3.0	localhost230405150001	B02	6.0	6.0	10.0	10.0	f02	4.948792	4.350228
B	2	9	failing	rejected	DMSO	687.8886561954624	390.5040139616056	27	3.0	localhost230405150001	B02	7.0	7.0	11.0	11.0	f02	1.2327149	4.4681807
B	2	9	failing	rejected	DMSO	402.2547021943574	479.56739811912223	27	3.0	localhost230405150001	B02	9.0	9.0	14.0	14.0	f02	6.4031224	4.1020837
B	2	9	failing	rejected	DMSO	920.7946969696969	545.7628787878788	27	3.0	localhost230405150001	B02	10.0	10.0	15.0	15.0	f02	7.4884634	4.165486
B	2	9	failing	rejected	DMSO	517.753001017294	590.7380467955239	27	3.0	localhost230405150001	B02	11.0	11.0	17.0	17.0	f02	-1.9346099	5.0946126
B	2	9	failing	rejected	DMSO	323.3035737939439	609.3009510689591	27	3.0	localhost230405150001	B02	13.0	13.0	19.0	19.0	f02	-2.9237263	3.0410345
B	2	9	failing	rejected	DMSO	727.206817311375	644.6086269628495	27	3.0	localhost230405150001	B02	14.0	14.0	21.0	21.0	f02	-2.6826892	4.013207
